,Num,Ra,Dec,Redshift,Eiso,Liso,Epeak,Duration,Gamma0(H),Gamma0(W),Phflux(15-150),alfa,beta,PhFlux(10-1000)
114,115,88.1622,-74.2812,2.489012212709806,2.3814608232884535e+53,8.867099277922574e+52,948.5498511605063,25.504,145.561,85.79,5.234,-0.9279999999999999,-2.424,7.773
115,116,257.1246,10.5152,0.2132348472676771,8.900170014198468e+52,6.998636226502126e+50,95.98996287262912,450.811,128.433,66.98100000000001,36.080999999999996,-1.0390000000000001,-2.494,49.637
116,117,156.1995,45.4463,2.1312291705297595,4.567515923419893e+52,3.1614709280516194e+52,240.77963247965909,13.128,131.013,60.733000000000004,6.1739999999999995,-0.929,-2.43,8.413
117,118,210.4425,-19.8044,1.9068725702151732,9.590404844058931e+52,2.1380571205352958e+52,691.5085015339122,32.715,156.227,77.282,3.177,-1.036,-2.605,4.62
118,119,108.2865,-52.2806,1.1004448852756177,7.098692529535811e+52,1.1736595304986652e+52,192.77096897506325,51.312,211.265,89.884,11.814,-0.898,-2.5639999999999996,15.895
119,120,331.278,-70.5068,1.5382221093579078,4.848899214862928e+52,3.5042991134420206e+52,585.4392534653214,8.745,107.126,53.638000000000005,9.56,-1.17,-2.5860000000000003,13.935
120,121,258.7907,0.6589,2.65429188869438,6.731258478618878e+52,2.9717884495277574e+53,485.7870710740576,2.099,138.27,67.15899999999999,26.971,-1.053,-2.475,37.466
121,122,321.5417,-35.4696,0.7788031710974926,4.161463114383009e+52,1.763538148538012e+51,113.90566837107544,145.655,413.20599999999996,128.60299999999998,5.085,-0.831,-2.614,6.843
122,123,40.4209,8.4272,0.7656957185865597,4.6729459481346294e+52,2.0713390031148522e+51,343.67609448517845,128.547,245.05599999999998,92.55,3.162,-0.79,-2.6910000000000003,4.448
123,124,353.3916,-76.1171,1.139183073385518,3.391898427609332e+51,9.371697268148455e+51,188.63303926614898,2.27,175.812,47.903999999999996,8.7,-1.004,-2.5340000000000003,11.884
124,125,59.7237,23.2222,1.843512834598386,8.799285413376008e+51,9.50732971010668e+51,210.79215089083846,8.187999999999999,459.415,106.531,2.6039999999999996,-0.857,-2.3930000000000002,3.532
125,126,160.7492,-46.4723,1.9208698544065257,1.3072982352166605e+53,6.725463792888207e+52,734.4832136932356,12.817,686.946,218.412,8.214,-0.922,-2.484,12.055
126,127,267.3552,16.7014,2.751311648133573,9.571616188758163e+51,1.4418800402184094e+53,393.3972539936423,0.812,559.685,123.23299999999999,14.787,-1.109,-2.6069999999999998,20.442999999999998
127,128,66.8035,-50.8828,2.0156244233816545,4.082758385781043e+53,5.744987022636856e+52,1120.4562589009295,43.849,213.865,121.29700000000001,4.609,-0.956,-2.468,7.15
128,129,88.5307,39.9305,0.5386482657021985,6.21036335138991e+51,5.073761058379819e+50,111.0101709064782,66.768,236.52200000000002,64.57,3.445,-0.956,-2.6430000000000002,4.678999999999999
129,130,35.8479,-35.7884,3.2455094258117416,2.901781950430997e+53,4.4992632479778647e+52,356.43107827926923,90.417,236.793,122.63799999999999,3.5980000000000003,-0.965,-2.6919999999999997,4.861000000000001
130,131,296.9619,20.4704,2.3109638829405035,5.445481883927472e+51,1.1959327234280685e+52,70.53362866412284,3.827,116.993,39.510999999999996,2.699,-0.8959999999999999,-2.642,4.314
131,132,177.2843,-43.4585,1.284625364916405,6.115308835093082e+53,1.5098816521166888e+53,719.1832893814811,21.096999999999998,498.69800000000004,228.15400000000002,44.43,-1.022,-2.474,66.997
